,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
400579,2003.0,,1.0,,,,,,1.0,,,,,37.809533,-122.274576
400580,2003.0,1.0,,,1.0,,,,,,,,,37.809946999999994,-122.29859499999999
400581,2003.0,,1.0,,,,,1.0,,,,,,37.810012,-122.295905
400582,2003.0,,1.0,,,,,1.0,,,,,,37.813028,-122.26978799999999
400583,2003.0,,1.0,,,,,1.0,,,,,,37.813932,-122.277029
400584,2003.0,,1.0,,,,,,,,,,,37.816863,-122.24525600000001
400585,2003.0,,1.0,,,,,,,,,,,37.81684,-122.25442
400586,2003.0,,1.0,,,,,1.0,,,,,,37.816476,-122.265042
400587,2003.0,,1.0,,,,,1.0,,,,,,37.819352,-122.277956
400589,2003.0,1.0,,,,1.0,,,,,,,,37.836894,-122.262447
400590,2003.0,,1.0,,,,,1.0,,,,,,37.840777,-122.273225
400592,2003.0,,1.0,,,,,1.0,,,,,,37.797678999999995,-122.198196
400593,2003.0,,1.0,,,,,,1.0,,,,,37.804532,-122.22159599999999
400601,2003.0,1.0,,,1.0,,,,,,,,,37.7472,-122.181
400604,2003.0,,1.0,,,,,1.0,,,,,,37.8459,-122.25200000000001
400605,2003.0,,1.0,,,,,,1.0,,,,,37.784612,-122.22886100000001
400606,2003.0,,1.0,,,,,1.0,,,,,,37.78487,-122.24417199999999
400607,2003.0,,1.0,,,,,1.0,,,,,,37.791887,-122.238547
400608,2003.0,,1.0,,,,,,,,,,,37.729577,-122.193855
400611,2003.0,,1.0,,,,,1.0,,,,,,37.760560999999996,-122.212057
400612,2003.0,,1.0,,,,,,1.0,,,,,37.749140000000004,-122.17431
400613,2003.0,1.0,,,,1.0,,,,,,,,37.754387,-122.17566799999999
400614,2003.0,,1.0,,,,,1.0,,,,,,37.759859999999996,-122.18956999999999
400615,2003.0,1.0,,,1.0,,,,,,,,,37.76137,-122.19416000000001
400616,2003.0,1.0,,,,1.0,,,,,,,,37.763009999999994,-122.19583
400617,2003.0,1.0,,,,1.0,,,,,,,,37.777640999999996,-122.224527
400618,2003.0,,1.0,,,,,,1.0,,,,,37.779247,-122.21085900000001
400619,2003.0,,1.0,,,,,1.0,,,,,,37.779562,-122.20653100000001
400620,2003.0,,1.0,,,,,1.0,,,,,,37.782375,-122.20111000000001
400621,2003.0,,1.0,,,,,,1.0,,,,,37.784432,-122.198237
400623,2003.0,,1.0,,,,,,1.0,,,,,37.78733,-122.205734
400624,2003.0,,1.0,,,,,1.0,,,,,,37.789729,-122.202329
400625,2003.0,,1.0,,,,,1.0,,,,,,37.79135,-122.207477
400626,2003.0,,1.0,,,,,,1.0,,,,,37.792482,-122.20048500000001
400627,2003.0,,1.0,,,,,1.0,,,,,,37.77778,-122.1817
400628,2003.0,,1.0,,,,,,1.0,,,,,37.779990999999995,-122.176874
400629,2003.0,,1.0,,,,,,1.0,,,,,37.787799,-122.19171599999999
400630,2003.0,,1.0,,,,,1.0,,,,,,37.745303,-122.15073600000001
400631,2003.0,,1.0,,,,,,1.0,,,,,37.757477,-122.16166899999999
400632,2003.0,,1.0,,,,,,1.0,,,,,37.791765000000005,-122.255824
400633,2003.0,,1.0,,,,,,1.0,,,,,37.799818,-122.240132
400634,2003.0,,1.0,,,,,,1.0,,,,,37.799818,-122.240132
400635,2003.0,,1.0,,,,,1.0,,,,,,37.800677,-122.274922
400636,2003.0,,1.0,,,,,1.0,,,,,,37.802572,-122.23243300000001
400637,2003.0,,1.0,,,,,1.0,,,,,,37.802867,-122.237559
400638,2003.0,,1.0,,,,,,,,,,,37.809235,-122.228691
400639,2003.0,,1.0,,,,,,1.0,,,,,37.810646999999996,-122.24690600000001
400640,2003.0,,1.0,,,,,,1.0,,,,,37.812009,-122.25159
400641,2003.0,1.0,,,,1.0,,,,,,,,37.812459000000004,-122.274437
400642,2003.0,,1.0,,,,,1.0,,,,,,37.8194,-122.26898999999999
400643,2003.0,,1.0,,,,,1.0,,,,,,37.81974,-122.25108999999999
400645,2003.0,,1.0,,,,,,1.0,,,,,37.821634,-122.257424
400646,2003.0,1.0,,,1.0,,1.0,,,,,,,37.827154,-122.27211399999999
400647,2003.0,,1.0,,,,,1.0,,,,,,37.827213,-122.25735300000001
400648,2003.0,,1.0,,,,,1.0,,,,,,37.840435,-122.284752
400649,2003.0,,1.0,,,,,1.0,,,,,,37.842513000000004,-122.274932
400650,2003.0,1.0,,,,1.0,,,,,,,,37.79233,-122.21241
400651,2003.0,,1.0,,,,,1.0,,,,,,37.794968,-122.218643
400652,2003.0,,1.0,,,,,1.0,,,,,,37.795448,-122.20453300000001
400653,2003.0,,1.0,,,,,,1.0,,,,,37.797701,-122.206392
400654,2003.0,,1.0,,,,,1.0,,,,,,37.801398,-122.227015
400655,2003.0,,1.0,,,,,1.0,,,,,,37.806101,-122.205537
400656,2003.0,1.0,,,1.0,,,,,,,,,37.7894,-122.23700000000001
400657,2003.0,1.0,,,1.0,,,,,,,,,37.7741,-122.178
400663,2003.0,1.0,,,1.0,,,,,,,,,37.7674,-122.167
400664,2003.0,1.0,,,1.0,,,,,,,,,37.7624,-122.213
400665,2003.0,,1.0,,,,,,1.0,,,,,37.775933,-122.23438999999999
